sid,value,sid,value
11729,ITIS term,11728,ITIS Term
12456,taxonomy,11730,Taxonomy
12039,page,11891,Page
11908,Toggle placeholder blocks,11896,toggle placeholder blocks
13083,Missing,11950,MISSING
12633,edit,12004,Edit
12208,Pages,12040,pages
12693,delete,12102,Delete
12632,never,12104,Never
12132,Scratchpads Messages,12119,Scratchpads messages
13646,Node ID,12224,Node id
12279,User ID,12228,User id
12256,Bundle,12239,bundle
12630,active,12243,Active
13378,Sort By,12479,Sort by
12951,log,12560,Log
12580,Scratchpads Statistics,12578,Scratchpads statistics
12677,Entity Admin,12675,entity admin
12682,Entity Admin Example,12680,Entity admin example
12713,BioBlitz,12711,Bioblitz
13564,settings,12787,Settings
13922,No,12839,NO
13921,Yes,12840,YES
12973,Hashcash,12965,hashcash
13987,All Rights Reserved,13054,All rights reserved
14124,endpoints,13274,Endpoints
13295,Technical Installations,13275,Technical installations
13300,Download Dictionary,13299,Download dictionary
13412,Relation Select,13400,Relation select
13474,WebSockets,13469,websockets
13483,Chat Room,13481,Chat room
13488,LiveForm,13486,Liveform
13571,Edit terms,13565,edit terms
14052,Creative Commons,13971,Creative commons
14061,Publication,14056,publication
14175,bigimage,14159,Bigimage
14272,UWho Redirect Path,14253,UWho Redirect PATH
14304,Entity UI,14303,entity ui
